,PERSON_ID,DISPLAY_FIRST_LAST,TEAM_ID,TEAM_ABBREVIATION,FROM_YEAR,TO_YEAR,GREATEST_75_FLAG
204,203200,Justin Holiday,1610612743,DEN,2012.0,2024.0,N
205,1626158,Richaun Holmes,1610612764,WAS,2015.0,2024.0,N
206,1631096,Chet Holmgren,1610612760,OKC,2022.0,2024.0,N
207,1641720,Jalen Hood-Schifino,1610612747,LAL,2023.0,2024.0,N
208,201143,Al Horford,1610612738,BOS,2007.0,2024.0,N
209,1629659,Talen Horton-Tucker,1610612762,UTA,2019.0,2024.0,N
210,1627863,Danuel House Jr.,0,,2016.0,2023.0,N
211,1631216,Caleb Houstan,1610612753,ORL,2022.0,2024.0,N
212,1641724,Jett Howard,1610612753,ORL,2023.0,2024.0,N
213,1628989,Kevin Huerter,1610612758,SAC,2018.0,2024.0,N
214,1630643,Jay Huff,1610612763,MEM,2021.0,2024.0,N
215,1629631,De'Andre Hunter,1610612737,ATL,2019.0,2024.0,N
216,1630538,Bones Hyland,1610612746,LAC,2021.0,2024.0,N
217,204060,Joe Ingles,1610612750,MIN,2014.0,2024.0,N
218,1627742,Brandon Ingram,1610612740,NOP,2016.0,2024.0,N
219,202681,Kyrie Irving,1610612742,DAL,2011.0,2024.0,N
220,1628371,Jonathan Isaac,1610612753,ORL,2017.0,2024.0,N
221,1631093,Jaden Ivey,1610612765,DET,2022.0,2024.0,N
222,1641713,GG Jackson II,1610612763,MEM,2023.0,2024.0,N
223,1630543,Isaiah Jackson,1610612754,IND,2021.0,2024.0,N
224,202704,Reggie Jackson,1610612743,DEN,2011.0,2023.0,N
225,1641748,Andre Jackson Jr.,1610612749,MIL,2023.0,2024.0,N
226,1628991,Jaren Jackson Jr.,1610612763,MEM,2018.0,2024.0,N
227,1631218,Trayce Jackson-Davis,1610612744,GSW,2023.0,2024.0,N
228,2544,LeBron James,1610612747,LAL,2003.0,2024.0,Y
229,1631170,Jaime Jaquez Jr.,1610612748,MIA,2023.0,2024.0,N
230,1629610,DaQuan Jeffries,1610612752,NYK,2019.0,2024.0,N
231,1629660,Ty Jerome,1610612739,CLE,2019.0,2024.0,N
232,1630198,Isaiah Joe,1610612760,OKC,2020.0,2024.0,N
233,1629661,Cameron Johnson,1610612751,BKN,2019.0,2024.0,N
234,1630552,Jalen Johnson,1610612737,ATL,2021.0,2024.0,N
235,1629640,Keldon Johnson,1610612759,SAS,2019.0,2024.0,N
236,1630553,Keon Johnson,1610612751,BKN,2021.0,2024.0,N
237,1641749,Keyontae Johnson,1610612760,OKC,2023.0,2023.0,N
238,203999,Nikola Jokic,1610612743,DEN,2015.0,2024.0,N
239,1641732,Colby Jones,1610612758,SAC,2023.0,2024.0,N
240,1627745,Damian Jones,1610612739,CLE,2016.0,2024.0,N
241,1630529,Herbert Jones,1610612740,NOP,2021.0,2024.0,N
242,1630200,Tre Jones,1610612759,SAS,2020.0,2024.0,N
243,1626145,Tyus Jones,1610612764,WAS,2015.0,2024.0,N
244,1627884,Derrick Jones Jr.,1610612746,LAC,2016.0,2024.0,N
245,201599,DeAndre Jordan,1610612743,DEN,2008.0,2024.0,N
246,202709,Cory Joseph,1610612753,ORL,2011.0,2024.0,N
247,1631107,Nikola Jovic,1610612748,MIA,2022.0,2024.0,N
248,1630548,Johnny Juzang,1610612762,UTA,2022.0,2024.0,N
249,1628379,Luke Kennard,1610612763,MEM,2017.0,2024.0,N
250,1631117,Walker Kessler,1610612762,UTA,2022.0,2024.0,N
251,1630296,Braxton Key,1610612743,DEN,2021.0,2024.0,N
252,1630557,Corey Kispert,1610612764,WAS,2021.0,2024.0,N
253,1628467,Maxi Kleber,1610612742,DAL,2017.0,2024.0,N
254,1630233,Nathan Knight,1610612750,MIN,2020.0,2022.0,N
255,1628995,Kevin Knox II,0,,2018.0,2023.0,N
256,1631132,Christian Koloko,1610612761,TOR,2022.0,2022.0,N
257,1629723,John Konchar,1610612763,MEM,2019.0,2024.0,N
258,1627788,Furkan Korkmaz,0,,2017.0,2023.0,N
259,1628436,Luke Kornet,1610612738,BOS,2017.0,2024.0,N
260,1630228,Jonathan Kuminga,1610612744,GSW,2021.0,2024.0,N
261,1628398,Kyle Kuzma,1610612764,WAS,2017.0,2024.0,N
262,1631222,Jake LaRavia,1610612763,MEM,2022.0,2024.0,N
263,203897,Zach LaVine,1610612741,CHI,2014.0,2024.0,N
264,1629111,Jock Landale,1610612745,HOU,2021.0,2024.0,N
265,1630639,AJ Lawson,1610612742,DAL,2022.0,2024.0,N
266,1627747,Caris LeVert,1610612739,CLE,2016.0,2024.0,N
267,1627814,Damion Lee,1610612756,PHX,2017.0,2024.0,N
268,1630240,Saben Lee,1610612756,PHX,2020.0,2024.0,N
269,203458,Alex Len,1610612758,SAC,2013.0,2024.0,N
270,202695,Kawhi Leonard,1610612746,LAC,2011.0,2024.0,Y
271,1631171,Justin Lewis,1610612741,CHI,2022.0,2022.0,N
272,1641721,Maxwell Lewis,1610612747,LAL,2023.0,2024.0,N
273,1630184,Kira Lewis Jr.,1610612762,UTA,2020.0,2024.0,N
274,1630604,E.J. Liddell,1610612737,ATL,2022.0,2024.0,N
275,203081,Damian Lillard,1610612749,MIL,2012.0,2024.0,Y
276,1629642,Nassir Little,1610612756,PHX,2019.0,2024.0,N
277,1641726,Dereck Lively II,1610612742,DAL,2023.0,2024.0,N
278,1630587,Isaiah Livers,0,,2021.0,2023.0,N
279,1641753,Chris Livingston,1610612749,MIL,2023.0,2024.0,N
280,1631254,Kenneth Lofton Jr.,1610612762,UTA,2022.0,2023.0,N
281,1626172,Kevon Looney,1610612744,GSW,2015.0,2024.0,N
282,201572,Brook Lopez,1610612749,MIL,2008.0,2024.0,N
283,201577,Robin Lopez,0,,2008.0,2023.0,N
284,201567,Kevin Love,1610612748,MIA,2008.0,2024.0,N
285,200768,Kyle Lowry,1610612755,PHI,2006.0,2024.0,N
286,1641754,Seth Lundy,1610612737,ATL,2023.0,2024.0,N
287,1626168,Trey Lyles,1610612758,SAC,2015.0,2024.0,N
288,1630177,Theo Maledon,0,,2020.0,2023.0,N
289,1630572,Sandro Mamukelashvili,1610612759,SAS,2021.0,2024.0,N
290,1629611,Terance Mann,1610612746,LAC,2019.0,2024.0,N
291,1630544,Tre Mann,1610612766,CHA,2021.0,2024.0,N
292,1626246,Boban Marjanovic,1610612745,HOU,2015.0,2024.0,N
293,1628374,Lauri Markkanen,1610612762,UTA,2017.0,2024.0,N
294,1630230,Naji Marshall,1610612742,DAL,2020.0,2024.0,N
295,1628997,Caleb Martin,1610612755,PHI,2019.0,2024.0,N
296,1628998,Cody Martin,1610612766,CHA,2019.0,2024.0,N
297,1630231,KJ Martin,1610612755,PHI,2020.0,2024.0,N
298,1629726,Garrison Mathews,1610612737,ATL,2019.0,2024.0,N
299,1631097,Bennedict Mathurin,1610612754,IND,2022.0,2024.0,N
300,202083,Wesley Matthews,1610612737,ATL,2009.0,2024.0,N
301,1630178,Tyrese Maxey,1610612755,PHI,2020.0,2024.0,N
302,1630219,Skylar Mays,1610612747,LAL,2020.0,2024.0,N
303,1630540,Miles McBride,1610612752,NYK,2021.0,2024.0,N
304,203468,CJ McCollum,1610612740,NOP,2013.0,2024.0,N
305,204456,T.J. McConnell,1610612754,IND,2015.0,2024.0,N
306,1630183,Jaden McDaniels,1610612750,MIN,2020.0,2024.0,N
307,1629667,Jalen McDaniels,1610612758,SAC,2019.0,2024.0,N
308,203926,Doug McDermott,1610612754,IND,2014.0,2024.0,N
309,201580,JaVale McGee,1610612758,SAC,2008.0,2024.0,N
310,1631121,Bryce McGowens,1610612757,POR,2022.0,2024.0,N
311,1629162,Jordan McLaughlin,1610612758,SAC,2019.0,2024.0,N
312,1629001,De'Anthony Melton,1610612744,GSW,2018.0,2024.0,N
313,1630241,Sam Merrill,1610612739,CLE,2020.0,2024.0,N
314,1629002,Chimezie Metu,1610612765,DET,2018.0,2023.0,N
315,203995,Vasilije Micic,1610612766,CHA,2023.0,2024.0,N
316,203114,Khris Middleton,1610612749,MIL,2012.0,2024.0,N
317,1641706,Brandon Miller,1610612766,CHA,2023.0,2024.0,N
318,1641757,Jordan Miller,1610612746,LAC,2023.0,2024.0,N
319,1631159,Leonard Miller,1610612750,MIN,2022.0,2024.0,N
320,201988,Patty Mills,1610612748,MIA,2009.0,2024.0,N
321,1629003,Shake Milton,1610612751,BKN,2018.0,2024.0,N
322,1631303,Justin Minaya,1610612757,POR,2022.0,2024.0,N
323,1631169,Josh Minott,1610612750,MIN,2022.0,2024.0,N
