"Player","eFG.","TRB","AST","STL","BLK","PTS","PER","USG.","WS","BPM","VORP","POS","AGE","PREV_CONT"
"Russell Westbrook",0.486,5,4.5,1.1,0.3,11.1,16.2,25.2,2.1,0.5,1,"PG",35.6,"$3,931,632.00"
"Saben Lee",0.382,1.3,1.3,0.3,0.1,3,13.5,18.8,0.4,-1.4,0,"PG",24.9,"$0.00"
"Saddiq Bey",0.497,6.5,1.5,0.8,0.2,13.7,13.1,17,3.5,-1.8,0.1,"SF",25.2,"$3,257,576.00"
"Sam Hauser",0.623,3.5,1,0.5,0.3,9,13,15,4.9,1.2,1.4,"SF",26.5,"$1,886,069.00"
"Sandro Mamukelashvili",0.532,3.2,1.1,0.2,0.3,4.1,15.8,17.7,1,-0.5,0.2,"C",25,"$2,019,706.00"
"Seth Lundy",0.324,0.8,0,0,0,1.6,0,15.8,-0.1,-12.7,-0.1,"SG",24.2,"$0.00"
"Shake Milton",0.451,1.6,1.3,0.4,0.1,4.5,9.2,18.7,0.6,-3.7,-0.3,"SG",27.7,"$552,938.00"
"Simone Fontecchio",0.582,3.7,1.5,0.7,0.3,10.5,12.1,16.5,2.1,-1,0.4,"SF",28.5,"$3,125,000.00"
"Skylar Mays",0.447,1.1,2.2,0.6,0.1,4.1,12,18.4,0.4,-2,0,"SG",26.8,"$0.00"
"Spencer Dinwiddie",0.489,2.7,4.7,0.7,0.3,10.5,11.7,16.6,3.6,-1.9,0.1,"PG",31.2,"$1,554,664.00"
"Stanley Umude",0.583,2.1,0.5,0.3,0.3,5.3,11.4,15.6,0.5,-1.6,0,"G",25.2,"$1,329,577.00"
"Svi Mykhailiuk",0.569,1.2,0.9,0.3,0,4,11.7,16.1,0.9,-1.8,0,"SG",27,"$2,346,614.00"
"T.J. Warren",0.463,2,0.8,0.4,0.1,3.7,9.2,16.5,0.2,-4.5,-0.1,"SF",30.8,"$317,307.00"
"Taj Gibson",0.432,1.9,0.6,0.2,0.4,1.7,5.9,9,0.2,-5.3,-0.2,"C",38.9,"$551,112.00"
"Talen Horton-Tucker",0.46,2.4,3.5,0.9,0.4,10.1,13.4,24,0.8,-1.2,0.2,"SG",23.5,"$10,260,000.00"
"Taurean Prince",0.566,2.9,1.5,0.7,0.4,8.9,8.8,13.8,1.9,-2.8,-0.4,"PF",30.2,"$4,516,000.00"
"Terquavion Smith",0.533,0.3,0.8,0.5,0,3.3,14.8,28.4,0.1,0.8,0.1,"SG",21.4,"$0.00"
"Thaddeus Young",0.606,3.1,1.7,0.7,0.2,4.2,15.9,12.6,1.3,0.3,0.2,"PF",35.9,"$1,010,371.00"
"Thanasis Antetokounmpo",0.533,0.4,0.5,0.2,0.1,0.9,5.5,12.5,0,-6.4,-0.2,"SF",31.8,"$2,346,614.00"
"Thomas Bryant",0.591,3.7,0.6,0.3,0.4,5.7,19,19.3,1.6,-0.4,0.2,"C",26.8,"$2,686,788.00"
