index,Name,FA_Year,Contract,Age_x,eFG,PPG,APG,RPG,SPG,BPG,MPG,is_AllStar,is_AllNBA,ID,Pos,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season
28,JaMychal Green,2017,8300000.0,27.0,0.555,8.948051948051948,1.0909090909090908,7.064935064935065,0.6103896103896104,0.44155844155844154,27.285714285714285,0.0,0.0,203210.0,PF,3.2,2.6,5.8,0.132,-0.9,0.2,-0.8,0.6,2016-17
8,Kyle O'Quinn,2015,4051312.5,25.0,0.5165289256198347,5.764705882352941,1.1568627450980393,3.9019607843137254,0.6078431372549019,0.7647058823529411,16.15686274509804,0.0,0.0,203124.0,PF,0.5,1.1,1.6,0.091,-1.7,1.5,-0.3,0.4,2014-15
11,Langston Galloway,2017,7000000.0,25.0,0.48990825688073397,7.905405405405405,1.2567567567567568,2.108108108108108,0.6216216216216216,0.08108108108108109,20.18918918918919,0.0,0.0,204038.0,PG,0.2,1.1,1.3,0.04,-1.5,-0.7,-2.3,-0.1,2016-17
80,Langston Galloway,2016,5933333.5,24.0,0.4583333333333333,7.621951219512195,2.524390243902439,3.5121951219512195,0.9390243902439024,0.2682926829268293,24.79268292682927,0.0,0.0,204038.0,PG,1.4,1.8,3.3,0.077,-1.7,0.7,-1.0,0.5,2015-16
12,Solomon Hill,2016,12500000.0,25.0,0.5048076923076923,4.169491525423729,0.9661016949152542,2.8135593220338984,0.6271186440677966,0.1864406779661017,14.677966101694915,0.0,0.0,203524.0,SF,0.8,1.3,2.1,0.117,-1.1,1.2,0.1,0.5,2015-16
13,Glenn Robinson III,2015,1224935.0,21.0,0.4253731343283582,2.085714285714286,0.3142857142857143,1.1142857142857143,0.17142857142857143,0.02857142857142857,7.457142857142857,0.0,0.0,203922.0,SG-SF,0.0,0.1,0.1,0.012,-3.0,-2.3,-5.4,-0.2,2014-15
13,Glenn Robinson III,2015,1224935.0,21.0,0.4253731343283582,2.085714285714286,0.3142857142857143,1.1142857142857143,0.17142857142857143,0.02857142857142857,7.457142857142857,0.0,0.0,203922.0,SG,0.0,0.0,0.0,0.009,-3.2,-2.2,-5.4,-0.1,2014-15
13,Glenn Robinson III,2015,1224935.0,21.0,0.4253731343283582,2.085714285714286,0.3142857142857143,1.1142857142857143,0.17142857142857143,0.02857142857142857,7.457142857142857,0.0,0.0,203922.0,SF,0.0,0.1,0.0,0.013,-2.9,-2.4,-5.4,-0.1,2014-15
14,Kyle Korver,2017,5708251.0,36.0,0.6213592233009708,10.119402985074627,1.6417910447761195,2.7761194029850746,0.5074626865671642,0.31343283582089554,26.16417910447761,0.0,0.0,2594.0,SG,2.3,1.3,3.7,0.1,0.5,-0.5,0.0,0.9,2016-17
171,Jared Dudley,2016,10000000.0,30.0,0.5811088295687885,7.8765432098765435,2.111111111111111,3.5308641975308643,0.9259259259259259,0.2222222222222222,25.901234567901234,0.0,0.0,201162.0,PF,2.6,2.0,4.6,0.105,-0.8,0.7,-0.1,1.0,2015-16
