ID,Name,Position,AVG_SALARY,FA_Year,Prev_Season
1628973.0,Jalen Brunson,PG,26000000.0,2022,2021-22
1628975.0,Jevon Carter,PG,6666666.666666667,2023,2022-23
1628977.0,Hamidou Diallo,SG,5200000.0,2021,2020-21
1628978.0,Donte DiVincenzo,SG,4650000.0,2022,2021-22
1628978.0,Donte DiVincenzo,SG,12500000.0,2023,2022-23
1628984.0,Devonte' Graham,PG,11750000.0,2021,2020-21
1628995.0,Kevin Knox II,SF,3000000.0,2022,2021-22
1628997.0,Caleb Martin,SF,6666666.666666667,2022,2021-22
1628998.0,Cody Martin,SG,8000000.0,2022,2021-22
1629001.0,De'Anthony Melton,SG,8750000.0,2020,2019-20
1629003.0,Shake Milton,PG,5000000.0,2023,2022-23
1629011.0,Mitchell Robinson,C,15000000.0,2022,2021-22
1629014.0,Anfernee Simons,SG,25000000.0,2022,2021-22
1629018.0,Gary Trent Jr.,SG,18000000.0,2021,2020-21
1629020.0,Jarred Vanderbilt,PF,4600000.0,2021,2020-21
1629022.0,Lonnie Walker IV,SF,6500000.0,2022,2021-22
1629028.0,Deandre Ayton,C,33250000.0,2022,2021-22
1629060.0,Rui Hachimura,PF,17000000.0,2023,2022-23
1629111.0,Jock Landale,C,8000000.0,2023,2022-23
1629130.0,Duncan Robinson,SF,18000000.0,2021,2020-21
1629134.0,Kendrick Nunn,SG,5000000.0,2021,2020-21
1629216.0,Gabe Vincent,G,1750000.0,2021,2020-21
1629216.0,Gabe Vincent,PG,11000000.0,2023,2022-23
1629234.0,Drew Eubanks,C,1763333.3333333333,2020,2019-20
1629599.0,Amir Coffey,SG,3666666.6666666665,2022,2021-22
1629622.0,Max Strus,G,1750000.0,2021,2020-21
1629622.0,Max Strus,SG,15750000.0,2023,2022-23
1629632.0,Coby White,PG,11000000.0,2023,2022-23
1629638.0,Nickeil Alexander-Walker,SG,4500000.0,2023,2022-23
1629652.0,Luguentz Dort,SF,17500000.0,2022,2021-22
1629659.0,Talen Horton-Tucker,SG,10666666.666666666,2021,2020-21
1629660.0,Ty Jerome,SG,2500000.0,2023,2022-23
1629661.0,Cameron Johnson,PF,27000000.0,2023,2022-23
1629667.0,Jalen McDaniels,PF,4650000.0,2023,2022-23
1629667.0,Jalen McDaniels,SF,4650000.0,2023,2022-23
1629684.0,Grant Williams,PF,13500000.0,2023,2022-23
1629723.0,John Konchar,SF,2250000.0,2020,2019-20
1630200.0,Tre Jones,PG,10000000.0,2023,2022-23
1630256.0,Jae'Sean Tate,SF,7366666.666666667,2022,2021-22
1630529.0,Herbert Jones,SF,13500000.0,2023,2022-23
1630559.0,Austin Reaves,SG,14000000.0,2023,2022-23
1630572.0,Sandro Mamukelashvili,C,2000000.0,2023,2022-23
