team,year,Name,Season,isAllStar
MIA,2019,Bam Adebayo,2019-20,1
NOP,2019,Brandon Ingram,2019-20,1
DAL,2020,Luka Doncic,2020-21,1
GSW,2020,Stephen Curry,2020-21,1
MIL,2020,Giannis Antetokounmpo,2020-21,1
DEN,2020,Nikola Jokic,2020-21,1
LAL,2020,LeBron James,2020-21,1
PHO,2020,Chris Paul,2020-21,1
BOS,2020,Jaylen Brown,2020-21,1
LAC,2020,Paul George,2020-21,1
POR,2020,Damian Lillard,2020-21,1
IND,2020,Domantas Sabonis,2020-21,1
UTA,2020,Rudy Gobert,2020-21,1
BRK,2020,Kyrie Irving,2020-21,1
WAS,2020,Bradley Beal,2020-21,1
LAC,2020,Kawhi Leonard,2020-21,1
BOS,2020,Jayson Tatum,2020-21,1
NOP,2020,Zion Williamson,2020-21,1
BRK,2020,James Harden,2020-21,1
UTA,2020,Donovan Mitchell,2020-21,1
CHI,2020,Zach LaVine,2020-21,1
ORL,2020,Nikola Vucevic,2020-21,1
NYK,2020,Julius Randle,2020-21,1
UTA,2020,Mike Conley,2020-21,1
GSW,2021,Stephen Curry,2021-22,1
LAL,2021,LeBron James,2021-22,1
MIL,2021,Giannis Antetokounmpo,2021-22,1
CHI,2021,DeMar DeRozan,2021-22,1
DEN,2021,Nikola Jokic,2021-22,1
DAL,2021,Luka Doncic,2021-22,1
CLE,2021,Darius Garland,2021-22,1
CLE,2021,Jarrett Allen,2021-22,1
TOR,2021,Fred VanVleet,2021-22,1
MIA,2021,Jimmy Butler,2021-22,1
PHO,2021,Chris Paul,2021-22,1
PHI,2021,Joel Embiid,2021-22,1
BOS,2021,Jayson Tatum,2021-22,1
ATL,2021,Trae Young,2021-22,1
MEM,2021,Ja Morant,2021-22,1
GSW,2021,Andrew Wiggins,2021-22,1
PHO,2021,Devin Booker,2021-22,1
SAS,2021,Dejounte Murray,2021-22,1
CHO,2021,LaMelo Ball,2021-22,1
MIL,2021,Khris Middleton,2021-22,1
MIN,2021,Karl-Anthony Towns,2021-22,1
UTA,2021,Rudy Gobert,2021-22,1
CHI,2021,Zach LaVine,2021-22,1
BOS,2022,Jayson Tatum,2022-23,1
CLE,2022,Donovan Mitchell,2022-23,1
UTA,2022,Lauri Markkanen,2022-23,1
MEM,2022,Ja Morant,2022-23,1
MIL,2022,Giannis Antetokounmpo,2022-23,1
MIA,2022,Bam Adebayo,2022-23,1
POR,2022,Damian Lillard,2022-23,1
CHI,2022,DeMar DeRozan,2022-23,1
TOR,2022,Pascal Siakam,2022-23,1
SAC,2022,Domantas Sabonis,2022-23,1
